Delivery,Bid,Ask,Last,Time,+/-,On Vol,Off Vol,Tot Vol,Open,High,Low,Settl.,O.I,Product,ProductCode,Date
2027,-,-,0.15,14:26,0.65,2,7,9,-0.05,0.15,-0.05,0.15,723,HLBY,HLBY-27,2026-06-23
2028,-,-,-,-,0.00,-,2,2,-,-,-,2.00,326,HLBY,HLBY-28,2026-06-23
2029,-,-,-,-,0.00,-,-,-,-,-,-,1.26,89,HLBY,HLBY-29,2026-06-23
2030,-,-,-,-,0.00,-,-,-,-,-,-,1.23,50,HLBY,HLBY-30,2026-06-23
Q3 2026,-4.80,-,-3.75,15:57,0.40,1,10,11,-3.75,-3.75,-3.75,-3.75,868,HLBQ,HLBQ3-26,2026-06-23
Q4 2026,-2.00,-,-,-,0.00,-,-,-,-,-,-,-1.12,979,HLBQ,HLBQ4-26,2026-06-23
Q1 2027,-,-,-,-,0.00,-,-,-,-,-,-,2.10,166,HLBQ,HLBQ1-27,2026-06-23
Q2 2027,-,-,-,-,0.00,-,-,-,-,-,-,-1.81,5,HLBQ,HLBQ2-27,2026-06-23
Jun 2026,-,-,-,-,0.00,-,-,-,-,-,-,-15.99,"1,018",HLBM,HLBMJUN-26,2026-06-23
Jul 2026,-,-,-11.50,15:57,0.75,1,-,1,-11.50,-11.50,-11.50,-11.50,185,HLBM,HLBMJUL-26,2026-06-23
Aug 2026,-,-6.70,-8.00,15:57,-0.75,2,-,2,-7.40,-7.40,-8.00,-8.00,47,HLBM,HLBMAUG-26,2026-06-23
Sep 2026,-,-,9.00,15:57,0.30,1,-,1,9.00,9.00,9.00,9.00,42,HLBM,HLBMSEP-26,2026-06-23
2027,-,-,45.80,15:59,0.65,36,92,128,44.65,45.80,44.65,45.73,"3,973",NSBY,NSBY-27,2026-06-23
2028,-,-,43.00,15:45,0.00,12,10,22,43.00,43.10,42.95,43.10,"1,671",NSBY,NSBY-28,2026-06-23
2029,-,-,43.30,15:07,0.40,2,-,2,43.20,43.30,43.20,42.90,688,NSBY,NSBY-29,2026-06-23
2030,-,-,46.00,11:08,0.55,1,-,1,46.00,46.00,46.00,45.35,344,NSBY,NSBY-30,2026-06-23
2031,-,-,-,-,0.00,-,-,-,-,-,-,45.88,148,NSBY,NSBY-31,2026-06-23
2032,-,-,-,-,0.00,-,-,-,-,-,-,48.38,53,NSBY,NSBY-32,2026-06-23
2033,-,-,-,-,0.00,-,-,-,-,-,-,48.88,1,NSBY,NSBY-33,2026-06-23
2034,-,-,-,-,0.00,-,-,-,-,-,-,49.38,1,NSBY,NSBY-34,2026-06-23
2035,-,-,-,-,0.00,-,-,-,-,-,-,49.88,0,NSBY,NSBY-35,2026-06-23
2036,-,-,-,-,0.00,-,-,-,-,-,-,50.13,0,NSBY,NSBY-36,2026-06-23
Q3 2026,46.60,48.10,47.70,15:59,-0.11,63,173,236,47.25,48.00,47.25,47.75,"5,156",NSBQ,NSBQ3-26,2026-06-23
Q4 2026,-,68.10,67.80,16:38,0.25,86,181,267,67.00,68.20,67.00,67.95,"4,937",NSBQ,NSBQ4-26,2026-06-23
Q1 2027,-,-,73.95,15:59,0.15,22,12,34,72.80,73.95,72.80,73.95,"1,239",NSBQ,NSBQ1-27,2026-06-23
Q2 2027,-,-,34.55,15:54,0.40,7,-,7,34.40,34.55,34.10,34.55,441,NSBQ,NSBQ2-27,2026-06-23
Q3 2027,-,-,26.00,15:54,1.00,12,-,12,24.65,26.00,24.65,26.00,413,NSBQ,NSBQ3-27,2026-06-23
Q4 2027,48.30,-,50.00,15:34,1.50,15,6,21,48.20,50.00,48.20,50.00,418,NSBQ,NSBQ4-27,2026-06-23
Q1 2028,65.25,-,67.00,15:51,0.35,2,-,2,67.00,67.00,67.00,67.00,196,NSBQ,NSBQ1-28,2026-06-23
Q2 2028,-,-,-,-,0.00,-,-,-,-,-,-,32.98,44,NSBQ,NSBQ2-28,2026-06-23
Q3 2028,-,-,-,-,0.00,-,-,-,-,-,-,24.18,51,NSBQ,NSBQ3-28,2026-06-23
Q4 2028,-,-,49.00,13:12,0.50,3,-,3,49.60,49.60,49.00,49.00,78,NSBQ,NSBQ4-28,2026-06-23
Jun 2026,-,-,-,-,0.00,-,-,-,-,-,-,61.54,"5,442",NSBM,NSBMJUN-26,2026-06-23
Jul 2026,41.05,-,41.60,15:59,0.10,106,12,118,41.00,42.50,41.00,41.68,"1,357",NSBM,NSBMJUL-26,2026-06-23
Aug 2026,-,-,48.05,15:59,-0.80,102,10,112,48.00,48.50,47.80,48.05,657,NSBM,NSBMAUG-26,2026-06-23
Sep 2026,53.50,-,54.10,15:58,-0.30,62,-,62,53.50,54.50,52.65,54.10,490,NSBM,NSBMSEP-26,2026-06-23
Oct 2026,-,-,55.40,15:32,0.82,7,-,7,53.50,55.40,53.50,55.40,123,NSBM,NSBMOCT-26,2026-06-23
Nov 2026,-,-,72.10,15:32,0.10,7,-,7,71.50,72.10,71.50,72.10,50,NSBM,NSBMNOV-26,2026-06-23
Dec 2026,-,-,76.50,15:32,0.50,8,-,8,75.00,76.50,75.00,76.50,60,NSBM,NSBMDEC-26,2026-06-23
